SECTOR,GROUP,COMMODITY,STATISTIC,UNIT
ECONOMICS,EXPENSES,FEED,EXPENSE,$
ECONOMICS,EXPENSES,FEED,EXPENSE,$ / OPERATION
ECONOMICS,EXPENSES,FEED,EXPENSE,OPERATIONS
ECONOMICS,EXPENSES,FEED,EXPENSE,PCT OF OPERATING EXPENSES
ECONOMICS,EXPENSES,FEED,EXPENSE,PCT OF OPERATIONS
ECONOMICS,EXPENSES,FEED,EXPENSE,PCT OF PRODUCTION EXPENSES
ECONOMICS,PRICES PAID,FERTILIZER TOTALS,EXPENSE,$
ECONOMICS,PRICES PAID,FERTILIZER TOTALS,EXPENSE,$ / OPERATION
ECONOMICS,PRICES PAID,FERTILIZER TOTALS,EXPENSE,OPERATIONS
ECONOMICS,PRICES PAID,FERTILIZER TOTALS,EXPENSE,PCT OF OPERATING EXPENSES
ECONOMICS,PRICES PAID,FERTILIZER TOTALS,EXPENSE,PCT OF OPERATIONS
ECONOMICS,PRICES PAID,FERTILIZER TOTALS,EXPENSE,PCT OF PRODUCTION EXPENSES
ECONOMICS,PRICES PAID,LABOR,EXPENSE,$
ECONOMICS,PRICES PAID,LABOR,EXPENSE,$ / OPERATION
ECONOMICS,PRICES PAID,LABOR,EXPENSE,OPERATIONS
ECONOMICS,PRICES PAID,LABOR,EXPENSE,PCT OF OPERATING EXPENSES
ECONOMICS,PRICES PAID,LABOR,EXPENSE,PCT OF OPERATIONS
ECONOMICS,PRICES PAID,LABOR,EXPENSE,PCT OF PRODUCTION EXPENSES
ECONOMICS,PRICES PAID,LABOR,FAMILIES,NUMBER
ECONOMICS,PRICES PAID,LABOR,OPERATIONS,NUMBER
ECONOMICS,PRICES PAID,LABOR,TIME WORKED,HOURS / WEEK
ECONOMICS,PRICES PAID,LABOR,"TIME WORKED, BASE",HOURS / WEEK
ECONOMICS,PRICES PAID,LABOR,WAGE RATE,$ / HOUR
ECONOMICS,PRICES PAID,LABOR,"WAGE RATE, BASE",$ / BASE HOUR
ECONOMICS,PRICES PAID,LABOR,"WAGE RATE, BASE",$ / HOUR
ECONOMICS,PRICES PAID,LABOR,WORKERS,NUMBER
ECONOMICS,PRICES PAID,LABOR,WORKERS,OPERATIONS
